 | 111  | Ditto              |  0.58727% | 28997  |  0.771% | 20516  |  0.698% | 
 | 112  | Slowking           |  0.58286% | 21928  |  0.583% | 17899  |  0.609% | 
 | 113  | Gengar             |  0.58049% | 42877  |  1.140% | 32179  |  1.094% | 
 | 114  | Polteageist        |  0.57259% | 24214  |  0.644% | 18041  |  0.613% | 
 | 115  | Kleavor            |  0.57079% | 30973  |  0.823% | 26702  |  0.908% | 
 | 116  | Jirachi            |  0.56791% | 26370  |  0.701% | 20837  |  0.709% | 
 | 117  | Mimikyu            |  0.55965% | 32324  |  0.859% | 23830  |  0.810% | 
 | 118  | Zoroark-Hisui      |  0.54689% | 37838  |  1.006% | 15109  |  0.514% | 
 | 119  | Hydreigon          |  0.53642% | 27184  |  0.723% | 21080  |  0.717% | 
 | 120  | Armarouge          |  0.48578% | 22931  |  0.610% | 17023  |  0.579% | 
 | 121  | Suicune            |  0.48292% | 18659  |  0.496% | 14773  |  0.502% | 
 | 122  | Hippowdon          |  0.47693% | 20014  |  0.532% | 17369  |  0.591% | 
 | 123  | Milotic            |  0.46818% | 25806  |  0.686% | 20213  |  0.687% | 
 | 124  | Kommo-o            |  0.46457% | 30455  |  0.810% | 21409  |  0.728% | 
 | 125  | Reuniclus          |  0.44892% | 20862  |  0.555% | 15452  |  0.525% | 
 | 126  | Necrozma           |  0.44885% | 17806  |  0.473% | 13498  |  0.459% | 
 | 127  | Conkeldurr         |  0.44311% | 22233  |  0.591% | 17483  |  0.594% | 
 | 128  | Haxorus            |  0.43484% | 23776  |  0.632% | 16542  |  0.562% | 
 | 129  | Espeon             |  0.43467% | 29947  |  0.796% | 22812  |  0.776% | 
 | 130  | Gyarados           |  0.43398% | 30508  |  0.811% | 23502  |  0.799% | 
 | 131  | Talonflame         |  0.42329% | 24853  |  0.661% | 19026  |  0.647% | 
 | 132  | Slither Wing       |  0.41863% | 17288  |  0.460% | 13451  |  0.457% | 
 | 133  | Ninetales          |  0.41098% | 25187  |  0.670% | 21205  |  0.721% | 
 | 134  | Basculegion        |  0.41092% | 18722  |  0.498% | 14164  |  0.482% | 
 | 135  | Salamence          |  0.39570% | 27173  |  0.722% | 19741  |  0.671% | 
 | 136  | Scream Tail        |  0.39432% | 16033  |  0.426% | 12752  |  0.434% | 
 | 137  | Gastrodon          |  0.36466% | 23172  |  0.616% | 18029  |  0.613% | 
 | 138  | Infernape          |  0.35513% | 25803  |  0.686% | 19690  |  0.670% | 
 | 139  | Enamorus-Therian   |  0.33106% | 10569  |  0.281% | 8298   |  0.282% | 
 | 140  | Whimsicott         |  0.32563% | 23503  |  0.625% | 18515  |  0.630% | 
 | 141  | Ogerpon            |  0.32060% | 14129  |  0.376% | 10406  |  0.354% | 
 | 142  | Tinkaton           |  0.30494% | 17852  |  0.475% | 14443  |  0.491% | 
 | 143  | Okidogi            |  0.30276% | 14657  |  0.390% | 11434  |  0.389% | 
 | 144  | Forretress         |  0.29931% | 20549  |  0.546% | 17450  |  0.593% | 
 | 145  | Umbreon            |  0.29158% | 20302  |  0.540% | 15158  |  0.515% | 
 | 146  | Cloyster           |  0.29072% | 21749  |  0.578% | 16551  |  0.563% | 
 | 147  | Crawdaunt          |  0.29011% | 14002  |  0.372% | 10664  |  0.363% | 
 | 148  | Muk-Alola          |  0.28962% | 14214  |  0.378% | 11665  |  0.397% | 
 | 149  | Hitmonlee          |  0.28718% | 21160  |  0.562% | 15614  |  0.531% | 
 | 150  | Pincurchin         |  0.28432% | 15667  |  0.416% | 14094  |  0.479% | 
 | 151  | Zapdos-Galar       |  0.27906% | 12995  |  0.345% | 10164  |  0.346% | 
 | 152  | Donphan            |  0.27804% | 14661  |  0.390% | 11713  |  0.398% | 
 | 153  | Iron Jugulis       |  0.27526% | 14210  |  0.378% | 10750  |  0.366% | 
 | 154  | Pawmot             |  0.27361% | 16269  |  0.432% | 11471  |  0.390% | 
 | 155  | Electivire         |  0.27321% | 24619  |  0.654% | 17422  |  0.592% | 
 | 156  | Golurk             |  0.27274% | 17363  |  0.462% | 13957  |  0.475% | 
 | 157  | Charizard          |  0.25947% | 22184  |  0.590% | 16605  |  0.565% | 
 | 158  | Torterra           |  0.25935% | 21103  |  0.561% | 15450  |  0.525% | 
